geo,Municipio,Porcentaje,Año
15244,El Cocuy,85.39,2025
15248,El Espino,100,2020
15248,El Espino,100,2021
15248,El Espino,100,2022
15248,El Espino,100,2023
15248,El Espino,100,2024
15248,El Espino,100,2025
15272,Firavitoba,100,2020
15272,Firavitoba,99.72,2021
15272,Firavitoba,94.11,2022
15272,Firavitoba,0,2023
15272,Firavitoba,0,2024
15272,Firavitoba,0,2025
15276,Floresta,100,2020
15276,Floresta,100,2021
15293,Gachantivá,56.94,2020
15293,Gachantivá,56.94,2021
15293,Gachantivá,56.94,2022
15293,Gachantivá,55.64,2023
15293,Gachantivá,55.71,2024
15293,Gachantivá,55.71,2025
15296,Gameza,10.12,2020
15296,Gameza,10.12,2021
15296,Gameza,10.12,2022
15296,Gameza,12.26,2023
15296,Gameza,12.26,2024
15296,Gameza,12.26,2025
15299,Garagoa,0,2020
15299,Garagoa,51.82,2022
15299,Garagoa,96.46,2023
15299,Garagoa,96.46,2024
15299,Garagoa,96.46,2025
15317,Guacamayas,17.02,2020
15317,Guacamayas,21.15,2021
15317,Guacamayas,23.82,2022
15317,Guacamayas,23.82,2023
15317,Guacamayas,100,2024
15317,Guacamayas,19.38,2025
15322,Guateque,7.74,2020
15322,Guateque,7.72,2021
15322,Guateque,5.23,2022
15322,Guateque,7.87,2023
15322,Guateque,7.87,2024
15322,Guateque,5.23,2025
15325,Guayatá,23.15,2020
15325,Guayatá,23.1,2021
15325,Guayatá,23.09,2022
15325,Guayatá,23.11,2023
15325,Guayatá,41.24,2024
15325,Guayatá,99.79,2025
15332,Güicán,10.24,2020
15332,Güicán,10.24,2021
15332,Güicán,10.24,2022
15332,Güicán,1.13,2023
15332,Güicán,1.13,2024
15332,Güicán,1.64,2025
15362,Iza,78.77,2021
15362,Iza,78.82,2022
15362,Iza,78.82,2024
15362,Iza,78.82,2025
15367,Jenesano,98.89,2020
15367,Jenesano,98.89,2021
15367,Jenesano,98.89,2022
15367,Jenesano,98.89,2023
15367,Jenesano,98.89,2024
15367,Jenesano,98.89,2025
15368,Jericó,0,2020
15368,Jericó,0,2021
15368,Jericó,2.73,2022
15368,Jericó,35.47,2023
15368,Jericó,12.08,2024
15368,Jericó,35.47,2025
15377,Labranza Grande,12.84,2020
15377,Labranza Grande,0,2021
15377,Labranza Grande,0,2022
15377,Labranza Grande,95.97,2023
15377,Labranza Grande,95.99,2024
15377,Labranza Grande,95.99,2025
15380,La Capilla,18.8,2020
15380,La Capilla,18.8,2021
15380,La Capilla,18.8,2022
15380,La Capilla,76.64,2023
15380,La Capilla,76.64,2024
15380,La Capilla,18.8,2025
15401,La Victoria,11.48,2020
15401,La Victoria,11.68,2021
15401,La Victoria,14.83,2022
15401,La Victoria,25.82,2023
15401,La Victoria,24.82,2024
15401,La Victoria,29.05,2025
15403,La Uvita,80.35,2020
15403,La Uvita,80.35,2021
15403,La Uvita,80.35,2022
15403,La Uvita,100,2024
15403,La Uvita,100,2025
15407,Villa De Leyva,84.21,2020
15407,Villa De Leyva,84.27,2021
15407,Villa De Leyva,84.26,2022
15425,Macanal,0.98,2020
15425,Macanal,31.47,2021
15425,Macanal,33.14,2022
15425,Macanal,30.93,2024
15425,Macanal,30.93,2025
15442,Maripí,24.18,2020
15442,Maripí,25.02,2021
15442,Maripí,25.08,2022
15442,Maripí,18.66,2023
15442,Maripí,18.66,2024
15442,Maripí,18.58,2025
15455,Miraflores,35.49,2020
15455,Miraflores,39.64,2021
15455,Miraflores,39.6,2022
15455,Miraflores,39.6,2023
15455,Miraflores,40.55,2024
15455,Miraflores,40.41,2025
15464,Mongua,0,2020
15464,Mongua,0,2021
15464,Mongua,18.75,2022
15464,Mongua,18.73,2023
15464,Mongua,64.71,2024
15464,Mongua,100,2025
15466,Monguì,51.66,2020
15466,Monguì,49.93,2021
15466,Monguì,49.41,2022
15466,Monguì,49.41,2023
15466,Monguì,45.87,2024
15466,Monguì,45.87,2025
15469,Moniquira,61.11,2020
15469,Moniquira,78.83,2021
15469,Moniquira,78.93,2022
15469,Moniquira,79.68,2023
15469,Moniquira,79.68,2024
15469,Moniquira,76.7,2025
15476,Motavita,41.43,2020
15476,Motavita,31.1,2021
15476,Motavita,36.97,2022
15476,Motavita,74.43,2023
15476,Motavita,74.6,2024
15476,Motavita,74.43,2025
