Municipio,Valor
Almeida,4
Iza,4
El Cocuy,4
Floresta,4
Chivor,4
Corrales,4
Sogamoso,4
Pachavita,4
Moniquirá,4
Turmequé,4
La Capilla,4
Jericó,3
