Municipio,Valor
Tunja,921
Duitama,705
Chiquinquirá,606
Puerto Boyacá,586
Paipa,416
Moniquirá,410
Garagoa,312
Otanche,278
Pauna,246
San Luis De Gaceno,241
Miraflores,221
Nobsa,215
