geo,Municipio,Año,Puntaje en resultados
15401,LA VICTORIA,2017,57.699682
15403,LA UVITA,2017,75.669404
15407,VILLA DE LEYVA,2017,69.078839
15425,MACANAL,2017,63.720320
15442,MARIPI,2017,62.201386
15455,MIRAFLORES,2017,66.745026
15464,MONGUA,2017,66.936567
15466,MONGUI,2017,66.847116
15469,MONIQUIRA,2017,70.049178
15476,MOTAVITA,2017,62.169010
15480,MUZO,2017,67.455184
15491,NOBSA,2017,69.578600
15494,NUEVO COLON,2017,63.650251
15500,OICATA,2017,61.897100
15507,OTANCHE,2017,64.462169
15511,PACHAVITA,2017,67.918515
15514,PAEZ,2017,69.936700
15516,PAIPA,2017,73.836664
15518,PAJARITO,2017,66.762565
15522,PANQUEBA,2017,75.315419
15531,PAUNA,2017,61.548600
15533,PAYA,2017,58.822894
15537,PAZ DE RIO,2017,69.618305
15542,PESCA,2017,65.974907
15550,PISVA,2017,62.443851
15572,PUERTO BOYACA,2017,70.060550
15580,QUIPAMA,2017,61.752476
15599,RAMIRIQUI,2017,72.755063
15600,RAQUIRA,2017,55.438012
15621,RONDON,2017,66.087124
15632,SABOYA,2017,69.837031
15638,SACHICA,2017,70.231618
15646,SAMACA,2017,69.262074
15660,SAN EDUARDO,2017,65.346025
15664,SAN JOSE DE PARE,2017,60.937895
15667,SAN LUIS DE GACENO,2017,72.923804
15673,SAN MATEO,2017,68.740030
15676,SAN MIGUEL DE SEMA,2017,66.106790
15681,SAN PABLO DE BORBUR,2017,58.978459
15686,SANTANA,2017,66.343636
15690,SANTA MARIA,2017,64.614709
15693,SANTA ROSA DE VITERB,2017,67.886164
15696,SANTA SOFIA,2017,65.985017
15720,SATIVANORTE,2017,67.752386
15723,SATIVASUR,2017,66.536528
15740,SIACHOQUE,2017,71.528388
15753,SOATA,2017,77.411407
15755,SOCOTA,2017,66.684748
15757,SOCHA,2017,73.067925
15759,SOGAMOSO,2017,74.077514
15761,SOMONDOCO,2017,67.170598
15762,SORA,2017,66.071131
15763,SOTAQUIRA,2017,66.925234
15764,SORACA,2017,75.892688
15774,SUSACON,2017,66.123881
15776,SUTAMARCHAN,2017,65.953009
15778,SUTATENZA,2017,64.215982
15790,TASCO,2017,70.706795
15798,TENZA,2017,67.774322
15804,TIBANA,2017,69.240725
15806,TIBASOSA,2017,64.804824
