Área OCDE,Año,Doctorado,Maestría
Ciencias agrícolas,2013,0,3
Ciencias naturales y exactas,2013,0,9
Ciencias sociales y humanidades,2013,2,142
Ingeniería y tecnología,2013,0,15
Sin Clasificar,2013,0,0
Ciencias agrícolas,2014,0,8
Ciencias naturales y exactas,2014,0,6
Ciencias sociales y humanidades,2014,3,160
Ingeniería y tecnología,2014,0,17
Sin Clasificar,2014,0,0
Ciencias agrícolas,2015,0,8
Ciencias naturales y exactas,2015,0,5
Ciencias sociales y humanidades,2015,3,219
Ingeniería y tecnología,2015,0,13
Sin Clasificar,2015,0,0
Ciencias agrícolas,2016,0,13
Ciencias naturales y exactas,2016,0,20
Ciencias sociales y humanidades,2016,15,273
Ingeniería y tecnología,2016,1,28
Sin Clasificar,2016,0,0
Ciencias agrícolas,2017,0,23
Ciencias naturales y exactas,2017,0,17
Ciencias sociales y humanidades,2017,18,609
Ingeniería y tecnología,2017,1,43
Sin Clasificar,2017,0,1
Ciencias agrícolas,2018,0,40
Ciencias naturales y exactas,2018,0,27
Ciencias sociales y humanidades,2018,12,538
Ingeniería y tecnología,2018,2,82
Sin Clasificar,2018,0,0
Ciencias agrícolas,2019,0,31
Ciencias naturales y exactas,2019,1,37
Ciencias sociales y humanidades,2019,9,425
Ingeniería y tecnología,2019,9,84
Sin Clasificar,2019,0,0
