Año,Cabeceras,Centros poblados y rural disperso
2018,5.3,4.4
2019,5.2,3.1
2020,4.2,2.4
2021,5.5,4.9
2022,5.1,3.4
2023,4.8,2.2
2024,4.6,3.4
