Año,2020,2021,2022
Desempeño administrativo,6.261360,4.824699,4.184210
Gestión fiscal,4.245559,3.692832,4.704255
Transparencia,4.767030,4.006270,2.679026
Seguridad y justicia,7.367349,7.239355,6.495269
INSTITUCIONES,5.660325,4.940789,4.515690
