geo,Municipio,Hectareas
15001,Tunja,9161.21
15047,Aquitania,26942.44
15051,Arcabuco,6793.89
15087,Belén,9083.82
15090,Berbeo,4513.05
15092,Betéitiva,8102.21
15097,Boavita,12124.47
15106,Briceño,5597.48
15114,Busbanzá,2383.69
15162,Cerinza,3194.31
15180,Chiscas,4465.3
15183,Chita,11926.03
15185,Chitaraque,10818.12
15187,Chivatá,4716.82
15204,Combita,11698.38
15212,Coper,12700.94
15215,Corrales,5801.37
15218,Covarachia,6817.34
15224,Cucaita,2535.22
15226,Cuìtiva,2683.93
15232,Chíquiza,5046.35
15238,Duitama,7881.13
15244,El Cocuy,2563.69
15248,El Espino,4623.42
15272,Firavitoba,8115.88
15276,Floresta,8180.45
15293,Gachantivá,4952.42
15296,Gameza,4049.79
15317,Guacamayas,4327.16
15332,Güicán,2268.45
15362,Iza,2800.71
15368,Jericó,9572.98
15401,La Victoria,3366.27
15403,La Uvita,9013.16
15407,Villa De Leyva,2772
15442,Maripí,15584.49
15455,Miraflores,18196.87
15464,Mongua,11160.09
15466,Monguì,2252.32
15469,Moniquira,14119.46
15476,Motavita,5327.1
15480,Muzo,10904
15491,Nobsa,4378.1
15500,Oicata,5444.51
15507,Otanche,14634.86
15514,Páez,21787.33
15516,Paipa,17282.99
15522,Panqueba,3197.01
15531,Pauna,20010.88
15537,Paz De Río,8435.65
15542,Pesca,14559.77
15572,Puerto Boyacá,98448.3
15580,Quípama,11740.39
15621,Rondón,12548.66
15638,Sáchica,1067.36
15646,Samacá,8090.65
15660,San Eduardo,5957.44
15664,San José De Pare,5416.3
15673,San Mateo,9486.93
15681,San Pablo De Borbur,11903.08
15686,Santana,6209.29
15693,Santa Rosa De Viterbo,6985.76
15696,Santa Sofía,5954.34
15720,Sativanorte,6599.03
15723,Sativasur,3049.58
15740,Siachoque,6857.5
15753,Soatá,6459.85
15755,Socotá,13451.37
15757,Socha,6274.27
15759,Sogamoso,8479.42
15762,Sora,1878.99
15763,Sotaquirá,16452.91
15764,Soracá,5537.41
15774,Susacón,8043.42
15776,Sutamarchàn,6991.29
15790,Tasco,7637.08
15806,Tibasosa,7885.16
15808,Tinjacá,4937.32
15810,Tipacoque,3886.99
15814,Toca,11792.78
15816,Togüí,6877.07
15820,Tópaga,3098.45
15822,Tota,8368.22
15832,Tununguá,2806.23
15837,Tuta,14311.07
15839,Tutazá,4964.79
15897,Zetaquirá,14006.3
