geo,Municipio,Hectareas
15001,Tunja,553.02
15047,Aquitania,45119.09
15051,Arcabuco,1929.76
15087,Belén,13085.57
15090,Berbeo,1173.92
15092,Betéitiva,2025.4
15097,Boavita,2294.49
15106,Briceño,1128.13
15162,Cerinza,2428.41
15180,Chiscas,23872.43
15183,Chita,59600.84
15185,Chitaraque,3374.59
15187,Chivatá,154.28
15204,Combita,1935.24
15212,Coper,2509.63
15215,Corrales,163.55
15218,Covarachia,3233.92
15224,Cucaita,950.41
15226,Cuìtiva,903.34
15232,Chíquiza,3889.38
15238,Duitama,3963.42
15244,El Cocuy,16980.15
15248,El Espino,1491.72
15272,Firavitoba,12.6
15276,Floresta,105
15293,Gachantivá,2444.45
15296,Gameza,8064.45
15317,Guacamayas,1427.53
15332,Güicán,13555.86
15362,Iza,266.32
15368,Jericó,3542.36
15401,La Victoria,238.72
15403,La Uvita,7059.76
15407,Villa De Leyva,3155.72
15442,Maripí,478.16
15455,Miraflores,5128.49
15464,Mongua,11606.03
15466,Monguì,1604.2
15469,Moniquira,2179.93
15476,Motavita,713.3
15480,Muzo,3298.07
15491,Nobsa,10.61
15500,Oicata,361.01
15507,Otanche,27609.48
15514,Páez,12115.5
15516,Paipa,4051.53
15522,Panqueba,717.29
15531,Pauna,4972.77
15537,Paz De Río,3742.99
15542,Pesca,13065.54
15572,Puerto Boyacá,13186.26
15580,Quípama,5665.64
15621,Rondón,2971.61
15638,Sáchica,4737.38
15646,Samacá,2873.56
15660,San Eduardo,4330.26
15673,San Mateo,2677.83
15681,San Pablo De Borbur,5135.88
15693,Santa Rosa De Viterbo,3583.27
15696,Santa Sofía,980.34
15720,Sativanorte,9549.37
15723,Sativasur,2456.37
15740,Siachoque,4607.6
15753,Soatá,5736.12
15755,Socotá,20331.85
15757,Socha,8423.67
15759,Sogamoso,5618.91
15762,Sora,2457.93
15763,Sotaquirá,10814.43
15774,Susacón,10204.61
15776,Sutamarchàn,3018.97
15790,Tasco,10882.76
15806,Tibasosa,215.81
15808,Tinjacá,2886.57
15810,Tipacoque,2019.14
15814,Toca,4339.9
15816,Togüí,2642.8
15820,Tópaga,215.69
15822,Tota,9314.95
15832,Tununguá,147.42
15837,Tuta,280.77
15839,Tutazá,13228.33
15897,Zetaquirá,10965.73
