Zona,Colombia,Boyacá,Cundinamarca,Meta
2015,2.955901,5.616230,3.946963,2.791469
2016,2.087383,0.796587,3.216103,-5.886422
2017,1.359361,1.043773,1.629180,0.406806
2018,2.564324,2.933723,2.266805,1.315287
2019,3.186855,2.133159,2.597008,4.749105
2020,-7.252299,-9.390152,-6.326577,-9.055061
2021,11.016193,9.136341,11.696027,2.414996
