geo,Municipio,Expedientes,Año
15001,Tunja,10,2020
15001,Tunja,2,2021
15001,Tunja,4,2022
15001,Tunja,16,2023
15001,Tunja,8,2024
15001,Tunja,18,2025
15047,Aquitania,14,2020
15047,Aquitania,26,2021
15047,Aquitania,8,2022
15047,Aquitania,26,2023
15047,Aquitania,20,2024
15047,Aquitania,2,2025
15051,Arcabuco,8,2020
15051,Arcabuco,2,2021
15051,Arcabuco,2,2022
15051,Arcabuco,6,2023
15051,Arcabuco,6,2024
15051,Arcabuco,12,2025
15087,Belén,4,2020
15087,Belén,2,2021
15087,Belén,2,2024
15087,Belén,6,2025
15090,Berbeo,2,2020
15090,Berbeo,4,2023
15092,Betéitiva,4,2020
15092,Betéitiva,2,2021
15092,Betéitiva,2,2022
15092,Betéitiva,10,2023
15092,Betéitiva,4,2024
15097,Boavita,10,2020
15097,Boavita,10,2021
15097,Boavita,20,2022
15097,Boavita,76,2023
15097,Boavita,20,2024
15097,Boavita,16,2025
15106,Briceño,2,2021
15106,Briceño,2,2024
15114,Busbanzá,2,2022
15162,Cerinza,4,2020
15162,Cerinza,2,2023
15162,Cerinza,6,2024
15162,Cerinza,10,2025
15180,Chiscas,2,2020
15180,Chiscas,6,2021
15180,Chiscas,8,2022
15180,Chiscas,22,2023
15180,Chiscas,6,2024
15183,Chita,2,2021
15183,Chita,2,2022
15183,Chita,12,2023
15183,Chita,8,2024
15185,Chitaraque,4,2020
15185,Chitaraque,4,2023
15185,Chitaraque,2,2025
15187,Chivatá,2,2020
15187,Chivatá,4,2023
15187,Chivatá,2,2024
15187,Chivatá,2,2025
15204,Combita,8,2020
15204,Combita,4,2021
15204,Combita,8,2024
15204,Combita,6,2025
15212,Coper,2,2022
15215,Corrales,2,2020
15215,Corrales,2,2021
15215,Corrales,2,2022
15215,Corrales,10,2025
15218,Covarachia,8,2020
15218,Covarachia,8,2021
15218,Covarachia,6,2022
15218,Covarachia,24,2023
15218,Covarachia,16,2024
15224,Cucaita,2,2020
15224,Cucaita,2,2022
15224,Cucaita,2,2024
15224,Cucaita,14,2025
15226,Cuìtiva,2,2020
15226,Cuìtiva,2,2021
15226,Cuìtiva,2,2022
15226,Cuìtiva,2,2023
15226,Cuìtiva,2,2024
15232,Chíquiza,6,2020
15232,Chíquiza,2,2021
15232,Chíquiza,4,2025
15238,Duitama,8,2020
15238,Duitama,6,2021
15238,Duitama,2,2022
15238,Duitama,4,2023
15238,Duitama,8,2024
15238,Duitama,12,2025
15244,El Cocuy,2,2020
15244,El Cocuy,4,2021
15244,El Cocuy,16,2023
15244,El Cocuy,6,2024
15248,El Espino,4,2020
15248,El Espino,2,2022
15248,El Espino,26,2023
15248,El Espino,6,2024
15248,El Espino,4,2025
15272,Firavitoba,4,2020
15272,Firavitoba,12,2021
15272,Firavitoba,4,2022
15272,Firavitoba,10,2023
15272,Firavitoba,4,2024
15272,Firavitoba,12,2025
15276,Floresta,2,2020
15276,Floresta,2,2023
15276,Floresta,6,2025
15293,Gachantivá,6,2020
15293,Gachantivá,2,2021
15293,Gachantivá,6,2023
15293,Gachantivá,6,2024
15293,Gachantivá,6,2025
15296,Gameza,6,2021
15296,Gameza,4,2023
15296,Gameza,2,2024
15296,Gameza,14,2025
15317,Guacamayas,2,2020
15317,Guacamayas,20,2023
15317,Guacamayas,4,2024
15362,Iza,8,2025
15368,Jericó,2,2020
15368,Jericó,8,2023
15403,La Uvita,2,2020
15403,La Uvita,2,2021
15403,La Uvita,8,2022
15403,La Uvita,58,2023
15403,La Uvita,4,2024
15403,La Uvita,4,2025
15407,Villa De Leyva,50,2020
15407,Villa De Leyva,10,2021
15407,Villa De Leyva,8,2022
15407,Villa De Leyva,8,2023
15407,Villa De Leyva,10,2024
15407,Villa De Leyva,16,2025
15442,Maripí,4,2023
15455,Miraflores,12,2020
15455,Miraflores,22,2021
15455,Miraflores,20,2022
15455,Miraflores,18,2023
15455,Miraflores,8,2024
15455,Miraflores,8,2025
15464,Mongua,2,2021
15464,Mongua,6,2025
15466,Monguì,2,2020
