Municipio,Valor
Jenesano,2.13844e+08
Macanal,1e+08
Sogamoso,8.28617e+07
Duitama,6.21796e+07
Provincia Centro, Municipio De Cómbita, Vereda San Rafael Y San Isidro.,5.84422e+07
Samaca,5.80743e+07
Labranzagrande,5.24675e+07
Zetaquira Y Rondon,4.98225e+07
Soata,4.875e+07
Sugamuxi,
Sogamoso, Primera
Chorrera Y El
Pedregal Y Morca,4.6e+07
Combita,4.534e+07
Quipama,4.4852e+07
