Año,Nobsa – Nazaret,Sogamoso – Movil Koica,Sogamoso – Movil Koica Paipa,Sogamoso – Movil Koica Sogamoso,Sogamoso – Movil Koica Tunja,Sogamoso – Recreo
2020,15.1,20.1,,,,18
2021,15.6,,,12.7,,16.7
2022,15.9,,,,,16.2
2023,17.4,,,,17.5,18.8
2024,11.1,,,,,
2025,5.4,,12.1,,,14
