Municipio,Valor
Tunja,24231
Duitama,20614
Sogamoso,19961.9
Chiquinquirá,9576.04
Cubará,8919.17
Puerto Boyacá,8780.27
Nobsa,6691.65
Soatá,4419.62
Garagoa,4134.86
Miraflores,3746.83
Villa De Leyva,3573.16
Pauna,3515.06
