Municipio,Valor
Tunja,291
Sogamoso,120
Duitama,89
Bogotá,70
Chiquinquirá,36
Moniquirá,24
Soata,21
Puerto Boyacá,14
Cubara,10
Garagoa,9
Güicán,8
Samacá,8
