Departamento,Poclación,2018,2019,2020,2021
Boyacá,CA,0.008000,0.005000,0.004000,0.009000
Boyacá,CPRD,0.000000,0.002000,0.000000,0.002000
Cundinamarca,CA,0.006000,0.019000,0.007000,0.006000
Cundinamarca,CPRD,0.013000,0.020000,0.013000,0.017000
Meta,CA,0.015000,0.020000,0.033000,0.037000
Meta,CPRD,0.030000,0.031000,0.054000,0.054000
Norte de Santander,CA,0.043000,0.047000,0.061000,0.026000
Norte de Santander,CPRD,0.009000,0.014000,0.014000,0.013000
Santander,CA,0.008000,0.015000,0.028000,0.010000
Santander,CPRD,0.007000,0.003000,0.003000,0.007000
