geo,Municipio,Toneladas,Año
15276,Floresta,0.54,2020
15276,Floresta,0.6,2021
15276,Floresta,1.15,2022
15276,Floresta,0.61,2023
15276,Floresta,0.59,2024
15293,Gachantivá,0.16,2020
15293,Gachantivá,0.18,2021
15293,Gachantivá,0.19,2022
15293,Gachantivá,0.18,2023
15293,Gachantivá,0.18,2024
15296,Gameza,0.26,2020
15296,Gameza,0.28,2021
15296,Gameza,0.37,2022
15296,Gameza,0.37,2023
15296,Gameza,0.39,2024
15299,Garagoa,4.15,2020
15299,Garagoa,4.36,2021
15299,Garagoa,10.48,2022
15299,Garagoa,6.7,2023
15299,Garagoa,6.7,2024
15317,Guacamayas,0.12,2020
15317,Guacamayas,0.13,2021
15317,Guacamayas,0.11,2022
15317,Guacamayas,0.13,2023
15317,Guacamayas,0.12,2024
15322,Guateque,5.07,2020
15322,Guateque,5.41,2021
15322,Guateque,4.86,2022
15322,Guateque,4.32,2023
15322,Guateque,5.11,2024
15325,Guayatá,0.36,2020
15325,Guayatá,0.48,2021
15325,Guayatá,0.47,2022
15325,Guayatá,0.47,2023
15325,Guayatá,0.5,2024
15332,Güicán,0.25,2020
15332,Güicán,0.25,2021
15332,Güicán,0.28,2022
15332,Güicán,0.6,2023
15332,Güicán,0.29,2024
15362,Iza,0.37,2020
15362,Iza,0.46,2021
15362,Iza,0.81,2022
15362,Iza,0.55,2023
15362,Iza,0.46,2024
15367,Jenesano,1.37,2020
15367,Jenesano,1.76,2021
15367,Jenesano,1.71,2022
15367,Jenesano,1.83,2023
15367,Jenesano,1.79,2024
15368,Jericó,0.23,2020
15368,Jericó,0.35,2021
15368,Jericó,0.42,2022
15368,Jericó,0.43,2023
15368,Jericó,0.38,2024
15377,Labranza Grande,0.54,2020
15377,Labranza Grande,0.53,2021
15377,Labranza Grande,0.56,2022
15377,Labranza Grande,0.57,2023
15377,Labranza Grande,0.6,2024
15380,La Capilla,0.22,2020
15380,La Capilla,0.25,2021
15380,La Capilla,0.25,2022
15380,La Capilla,0.27,2023
15380,La Capilla,0.29,2024
15401,La Victoria,0.13,2020
15401,La Victoria,0.14,2021
15401,La Victoria,6.18,2022
15401,La Victoria,0.16,2023
15401,La Victoria,0.12,2024
15403,La Uvita,0.24,2020
15403,La Uvita,0.3,2021
15403,La Uvita,0.37,2022
15403,La Uvita,0.32,2023
15403,La Uvita,0.3,2024
15407,Villa De Leyva,10.06,2020
