geo,Municipio,Año,Especie,Cantidad
15001,Tunja,2019,Aves Carne,0
15022,Almeida,2019,Aves Carne,20000
15047,Aquitania,2019,Aves Carne,0
15051,Arcabuco,2019,Aves Carne,230000
15087,Belén,2019,Aves Carne,0
15090,Berbeo,2019,Aves Carne,0
15092,Betéitiva,2019,Aves Carne,0
15097,Boavita,2019,Aves Carne,0
15104,Boyacá,2019,Aves Carne,0
15106,Briceño,2019,Aves Carne,0
15109,Buenavista,2019,Aves Carne,0
15114,Busbanzá,2019,Aves Carne,0
15131,Caldas,2019,Aves Carne,0
15135,Campohermoso,2019,Aves Carne,0
15162,Cerinza,2019,Aves Carne,0
15172,Chinavita,2019,Aves Carne,2000
15176,Chiquinquirá,2019,Aves Carne,0
15180,Chiscas,2019,Aves Carne,0
15183,Chita,2019,Aves Carne,0
15185,Chitaraque,2019,Aves Carne,0
15187,Chivatá,2019,Aves Carne,0
15189,Ciénega,2019,Aves Carne,0
15204,Cómbita,2019,Aves Carne,120000
15212,Coper,2019,Aves Carne,0
15215,Corrales,2019,Aves Carne,0
15218,Covarachía,2019,Aves Carne,0
15223,Cubará,2019,Aves Carne,0
15224,Cucaita,2019,Aves Carne,0
15226,Cuítiva,2019,Aves Carne,0
15232,Chíquiza,2019,Aves Carne,0
15236,Chivor,2019,Aves Carne,0
15238,Duitama,2019,Aves Carne,23400
15244,El Cocuy,2019,Aves Carne,0
15248,El Espino,2019,Aves Carne,0
15272,Firavitoba,2019,Aves Carne,0
15276,Floresta,2019,Aves Carne,0
15293,Gachantivá,2019,Aves Carne,0
15296,Gámeza,2019,Aves Carne,0
15299,Garagoa,2019,Aves Carne,6940
15317,Guacamayas,2019,Aves Carne,0
15322,Guateque,2019,Aves Carne,360200
15325,Guayatá,2019,Aves Carne,45000
15332,Güicán,2019,Aves Carne,0
15362,Iza,2019,Aves Carne,0
15367,Jenesano,2019,Aves Carne,0
15368,Jericó,2019,Aves Carne,0
15377,Labranzagrande,2019,Aves Carne,0
15380,La Capilla,2019,Aves Carne,0
15401,La Victoria,2019,Aves Carne,0
15403,La Uvita,2019,Aves Carne,0
15407,Villa de Leiva,2019,Aves Carne,0
15425,Macanal,2019,Aves Carne,0
15442,Maripí,2019,Aves Carne,0
15455,Miraflores,2019,Aves Carne,0
15464,Mongua,2019,Aves Carne,0
15466,Monguí,2019,Aves Carne,0
15469,Moniquirá,2019,Aves Carne,449300
15476,Motavita,2019,Aves Carne,76000
15480,Muzo,2019,Aves Carne,0
15491,Nobsa,2019,Aves Carne,0
15494,Nuevo Colón,2019,Aves Carne,0
15500,Oicatá,2019,Aves Carne,0
15507,Otanche,2019,Aves Carne,0
15511,Pachavita,2019,Aves Carne,0
15514,Páez,2019,Aves Carne,0
15516,Paipa,2019,Aves Carne,0
15518,Pajarito,2019,Aves Carne,90000
15522,Panqueba,2019,Aves Carne,0
15531,Pauna,2019,Aves Carne,0
15533,Paya,2019,Aves Carne,0
15537,Paz de Río,2019,Aves Carne,0
15542,Pesca,2019,Aves Carne,0
15550,Pisba,2019,Aves Carne,0
15572,Puerto Boyacá,2019,Aves Carne,0
15580,Quípama,2019,Aves Carne,0
15599,Ramiriquí,2019,Aves Carne,630
15600,Ráquira,2019,Aves Carne,0
15621,Rondón,2019,Aves Carne,0
15632,Saboyá,2019,Aves Carne,58000
15638,Sáchica,2019,Aves Carne,0
15646,Samacá,2019,Aves Carne,0
15660,San Eduardo,2019,Aves Carne,0
15664,San José de Pare,2019,Aves Carne,16000
15667,San Luis de Gaceno,2019,Aves Carne,0
15673,San Mateo,2019,Aves Carne,0
15676,San Miguel de Sema,2019,Aves Carne,0
15681,San Pablo de Borbur,2019,Aves Carne,0
15686,Santana,2019,Aves Carne,0
15690,Santa María,2019,Aves Carne,1000
15693,Santa Rosa de Viterbo,2019,Aves Carne,0
15696,Santa Sofía,2019,Aves Carne,0
15720,Sativanorte,2019,Aves Carne,0
15723,Sativasur,2019,Aves Carne,0
15740,Siachoque,2019,Aves Carne,0
15753,Soatá,2019,Aves Carne,0
15755,Socotá,2019,Aves Carne,0
15757,Socha,2019,Aves Carne,0
15759,Sogamoso,2019,Aves Carne,0
15761,Somondoco,2019,Aves Carne,130000
15762,Sora,2019,Aves Carne,0
15763,Sotaquirá,2019,Aves Carne,222000
15764,Soracá,2019,Aves Carne,0
15774,Susacón,2019,Aves Carne,0
15776,Sutamarchán,2019,Aves Carne,0
15778,Sutatenza,2019,Aves Carne,280000
15790,Tasco,2019,Aves Carne,0
15798,Tenza,2019,Aves Carne,134000
15804,Tibaná,2019,Aves Carne,0
15806,Tibasosa,2019,Aves Carne,205000
15808,Tinjacá,2019,Aves Carne,45000
15810,Tipacoque,2019,Aves Carne,0
15814,Toca,2019,Aves Carne,0
15816,Togüí,2019,Aves Carne,0
15820,Tópaga,2019,Aves Carne,0
15822,Tota,2019,Aves Carne,0
15832,Tununguá,2019,Aves Carne,0
15835,Turmequé,2019,Aves Carne,70000
15837,Tuta,2019,Aves Carne,338000
15839,Tutazá,2019,Aves Carne,0
15842,Úmbita,2019,Aves Carne,0
15861,Ventaquemada,2019,Aves Carne,0
15879,Viracachá,2019,Aves Carne,0
15897,Zetaquirá,2019,Aves Carne,0
15001,Tunja,2020,Aves Carne,0
15022,Almeida,2020,Aves Carne,19000
15047,Aquitania,2020,Aves Carne,0
15051,Arcabuco,2020,Aves Carne,228000
15087,Belén,2020,Aves Carne,0
15090,Berbeo,2020,Aves Carne,0
15092,Betéitiva,2020,Aves Carne,0
15097,Boavita,2020,Aves Carne,0
15104,Boyacá,2020,Aves Carne,0
15106,Briceño,2020,Aves Carne,980
15109,Buenavista,2020,Aves Carne,0
15114,Busbanzá,2020,Aves Carne,0
15131,Caldas,2020,Aves Carne,0
15135,Campohermoso,2020,Aves Carne,0
15162,Cerinza,2020,Aves Carne,0
15172,Chinavita,2020,Aves Carne,1800
15176,Chiquinquirá,2020,Aves Carne,0
15180,Chiscas,2020,Aves Carne,0
15183,Chita,2020,Aves Carne,0
15185,Chitaraque,2020,Aves Carne,0
15187,Chivatá,2020,Aves Carne,0
15189,Ciénega,2020,Aves Carne,0
15204,Cómbita,2020,Aves Carne,218000
15212,Coper,2020,Aves Carne,120000
15215,Corrales,2020,Aves Carne,0
15218,Covarachía,2020,Aves Carne,0
15223,Cubará,2020,Aves Carne,0
15224,Cucaita,2020,Aves Carne,0
15226,Cuítiva,2020,Aves Carne,0
