Municipio,Valor
Tunja,47
Sogamoso,33
Bogotá,25
Duitama,23
San Pablo De Borbur,6
Velez,6
Barbosa,6
Chiquinquirá,5
Ubate,5
Venezuela,5
Moniquirá,4
Samacá,4
