AÑO,2011,2012,2013,2014,2015
BOYACÁ,7.247490,7.709658,10.213260,9.257697,8.226216
CUNDINAMARCA,12.275470,12.746210,12.777860,14.020150,14.440080
META,32.965720,39.589550,44.330510,44.959450,44.729510
NORTE DE SANTANDER,27.954620,27.786670,30.621940,33.257990,33.191060
SANTANDER,25.338960,22.996150,25.870530,27.839780,31.391320
COLOMBIA,24.354650,26.241990,26.170870,27.583940,27.583110
