Año,Menores de un año,(01 a 05),(06 a 11),(12 a 17),Total año
2015,19,79,120,152,370
2016,18,66,113,170,367
2017,11,70,101,147,329
2018,10,56,82,147,295
2019,5,51,82,133,271
2020,5,21,55,88,169
2021,2,22,55,80,159
