Año,Periodo,BACHILLERATO CULMINADO,BACHILLERATO EN CURSO,PRIMARIA CULMINADA,PREGRADO EN CURSO,PRIMARIA EN CURSO,TECNOLOGIA EN CURSO,TECNICO EN CURSO,PREGRADO CULMINADO,SIN INFORMACION,ESPECIALIZACIÓN EN CURSO,TECNICO CULMINADO,MAESTRÍA EN CURSO,MAESTRÍA CULMINADA,DIPLOMADOS¬ CURSOS,DOCTORADO EN CURSO
2020,ene a jun,51,32,25,27,25,9,6,9,6,2,0,1,1,0,0
2020,jul a dic,65,40,21,25,16,6,8,5,3,1,2,1,0,0,0
2021,ene a jun,54,30,19,23,18,9,10,5,6,5,0,0,2,0,1
2021,jul a dic,58,26,38,20,14,13,10,3,5,6,3,1,0,0,0
2022,ene a jun,63,48,22,30,18,16,9,9,7,2,2,1,0,1,0
2022,jul a dic,57,31,28,19,19,9,6,5,7,2,1,0,0,0,0
2023,ene a jun,63,36,37,26,16,8,17,6,2,2,1,0,0,1,0
2023,jul a dic,75,42,29,21,25,10,18,4,6,1,0,0,2,0,0
2024,ene a jun,58,34,36,19,21,20,12,9,6,3,1,1,0,0,0
