Departamento,Población,2018,2019,2020,2021
Boyacá,CA,0.699000,0.721000,0.655000,0.684000
Boyacá,CPRD,0.918000,0.926000,0.871000,0.875000
Cundinamarca,CA,0.645000,0.660000,0.679000,0.660000
Cundinamarca,CPRD,0.821000,0.815000,0.799000,0.812000
Meta,CA,0.760000,0.743000,0.733000,0.697000
Meta,CPRD,0.822000,0.804000,0.863000,0.801000
Norte de Santander,CA,0.822000,0.808000,0.826000,0.839000
Norte de Santander,CPRD,0.962000,0.951000,0.962000,0.976000
Santander,CA,0.699000,0.708000,0.728000,0.701000
Santander,CPRD,0.883000,0.880000,0.916000,0.895000
