geo,Municipio,Cultivo,Año,Rendimiento (t/ha)
15814,TOCA,Clavel,2007,10
15861,VENTAQUEMADA,Clavel,2008,10
15814,TOCA,Clavel,2008,10
15814,TOCA,Clavel,2008,10
15814,TOCA,Clavel,2010,10
15814,TOCA,Clavel,2011,1
15814,TOCA,Clavel,2012,1
15814,TOCA,Clavel,2013,1
15814,TOCA,Clavel,2014,95
15814,TOCA,Clavel,2015,1
15814,TOCA,Clavel,2016,1
15814,TOCA,Clavel,2017,10
15814,TOCA,Clavel,2018,10
15162,CERINZA,Flores Y Follajes,2008,15
15632,SABOYA,Flores Y Follajes,2009,8
15162,CERINZA,Flores Y Follajes,2009,15
15466,MONGUI,Flores Y Follajes,2010,2
15162,CERINZA,Flores Y Follajes,2010,15
15466,MONGUI,Flores Y Follajes,2011,2
15162,CERINZA,Flores Y Follajes,2011,18
15491,NOBSA,Flores Y Follajes,2012,10
15162,CERINZA,Flores Y Follajes,2012,16
15466,MONGUI,Flores Y Follajes,2012,2
15162,CERINZA,Flores Y Follajes,2013,12
15621,RONDON,Flores Y Follajes,2015,925
15814,TOCA,Flores Y Follajes,2015,1
15632,SABOYA,Flores Y Follajes,2016,3
15162,CERINZA,Flores Y Follajes,2016,
15621,RONDON,Flores Y Follajes,2016,23
15632,SABOYA,Flores Y Follajes,2017,3
15162,CERINZA,Flores Y Follajes,2017,3
15621,RONDON,Flores Y Follajes,2017,23
15632,SABOYA,Flores Y Follajes,2018,7
15162,CERINZA,Flores Y Follajes,2018,48
15621,RONDON,Flores Y Follajes,2018,23
15814,TOCA,Girasol,2014,5
15681,SAN PABLO DE BORBUR,Heliconia,2016,6
15681,SAN PABLO DE BORBUR,Heliconia,2017,6
15681,SAN PABLO DE BORBUR,Heliconia,2018,6
15632,SABOYA,Pompon Y Crisantemo,2008,30
15814,TOCA,Rosa,2008,1
15814,TOCA,Rosa,2009,1
15814,TOCA,Rosa,2010,1
15814,TOCA,Rosa,2011,1
15814,TOCA,Rosa,2012,9
15814,TOCA,Rosa,2013,9
15162,CERINZA,Rosa,2013,8
15814,TOCA,Rosa,2014,9
15162,CERINZA,Rosa,2014,108
15814,TOCA,Rosa,2015,1
15162,CERINZA,Rosa,2015,108
15814,TOCA,Rosa,2016,3
15272,FIRAVITOBA,Rosa,2016,3
15814,TOCA,Rosa,2017,10
15272,FIRAVITOBA,Rosa,2017,10
15814,TOCA,Rosa,2018,10
15272,FIRAVITOBA,Rosa,2018,105
