geo,Municipio,Grupo cultivo,Desagregación cultivo,Año,Área cosechada,Ciclo del cultivo
15185,Chitaraque,Raíces y Tubérculos,Yuca consumo en fresco,2019,28.000000,Transitorio
15187,Chivatá,Raíces y Tubérculos,Papa todas las variedades,2019,60.000000,Transitorio
15187,Chivatá,Raíces y Tubérculos,Papa todas las variedades,2019,50.000000,Transitorio
15189,Ciénega,Raíces y Tubérculos,Arracacha,2019,30.000000,Transitorio
15189,Ciénega,Raíces y Tubérculos,Arracacha,2019,30.000000,Transitorio
15189,Ciénega,Raíces y Tubérculos,Papa todas las variedades,2019,264.000000,Transitorio
15189,Ciénega,Raíces y Tubérculos,Papa todas las variedades,2019,245.000000,Transitorio
15204,Cómbita,Raíces y Tubérculos,Papa todas las variedades,2019,650.000000,Transitorio
15204,Cómbita,Raíces y Tubérculos,Papa todas las variedades,2019,550.000000,Transitorio
15212,Coper,Raíces y Tubérculos,Yuca consumo en fresco,2019,75.000000,Transitorio
15215,Corrales,Raíces y Tubérculos,Papa todas las variedades,2019,4.000000,Transitorio
15215,Corrales,Raíces y Tubérculos,Papa todas las variedades,2019,0.800000,Transitorio
15218,Covarachía,Raíces y Tubérculos,Yuca consumo en fresco,2019,15.000000,Transitorio
15218,Covarachía,Raíces y Tubérculos,Yuca consumo en fresco,2019,15.000000,Transitorio
15223,Cubará,Raíces y Tubérculos,Yuca consumo en fresco,2019,20.000000,Transitorio
15223,Cubará,Raíces y Tubérculos,Yuca consumo en fresco,2019,18.000000,Transitorio
15224,Cucaita,Raíces y Tubérculos,Papa todas las variedades,2019,200.000000,Transitorio
15224,Cucaita,Raíces y Tubérculos,Papa todas las variedades,2019,350.000000,Transitorio
15226,Cuítiva,Raíces y Tubérculos,Papa Criolla,2019,3.000000,Transitorio
15226,Cuítiva,Raíces y Tubérculos,Papa Criolla,2019,3.000000,Transitorio
15226,Cuítiva,Raíces y Tubérculos,Papa todas las variedades,2019,20.000000,Transitorio
15226,Cuítiva,Raíces y Tubérculos,Papa todas las variedades,2019,20.000000,Transitorio
15232,Chíquiza,Raíces y Tubérculos,Papa Criolla,2019,35.000000,Transitorio
15232,Chíquiza,Raíces y Tubérculos,Papa Criolla,2019,35.000000,Transitorio
15232,Chíquiza,Raíces y Tubérculos,Papa todas las variedades,2019,620.000000,Transitorio
15232,Chíquiza,Raíces y Tubérculos,Papa todas las variedades,2019,720.000000,Transitorio
15236,Chivor,Raíces y Tubérculos,Arracacha,2019,0.300000,Transitorio
15236,Chivor,Raíces y Tubérculos,Arracacha,2019,0.500000,Transitorio
15236,Chivor,Raíces y Tubérculos,Papa todas las variedades,2019,5.000000,Transitorio
15236,Chivor,Raíces y Tubérculos,Papa todas las variedades,2019,6.000000,Transitorio
15236,Chivor,Raíces y Tubérculos,Yuca consumo en fresco,2019,2.000000,Transitorio
15236,Chivor,Raíces y Tubérculos,Yuca consumo en fresco,2019,1.000000,Transitorio
15238,Duitama,Raíces y Tubérculos,Papa Criolla,2019,2.910000,Transitorio
15238,Duitama,Raíces y Tubérculos,Papa Criolla,2019,2.910000,Transitorio
15238,Duitama,Raíces y Tubérculos,Papa todas las variedades,2019,14.550000,Transitorio
15238,Duitama,Raíces y Tubérculos,Papa todas las variedades,2019,14.550000,Transitorio
15244,El Cocuy,Raíces y Tubérculos,Papa todas las variedades,2019,300.000000,Transitorio
15244,El Cocuy,Raíces y Tubérculos,Papa todas las variedades,2019,100.000000,Transitorio
15248,El Espino,Raíces y Tubérculos,Papa todas las variedades,2019,22.000000,Transitorio
15248,El Espino,Raíces y Tubérculos,Papa todas las variedades,2019,7.000000,Transitorio
15272,Firavitoba,Raíces y Tubérculos,Papa todas las variedades,2019,120.000000,Transitorio
15272,Firavitoba,Raíces y Tubérculos,Papa todas las variedades,2019,120.000000,Transitorio
15276,Floresta,Raíces y Tubérculos,Papa todas las variedades,2019,50.000000,Transitorio
15293,Gachantivá,Raíces y Tubérculos,Arracacha,2019,7.000000,Transitorio
15293,Gachantivá,Raíces y Tubérculos,Papa todas las variedades,2019,65.000000,Transitorio
15293,Gachantivá,Raíces y Tubérculos,Papa todas las variedades,2019,50.000000,Transitorio
15293,Gachantivá,Raíces y Tubérculos,Yuca consumo en fresco,2019,35.000000,Transitorio
15296,Gámeza,Raíces y Tubérculos,Papa todas las variedades,2019,400.000000,Transitorio
15296,Gámeza,Raíces y Tubérculos,Papa todas las variedades,2019,138.000000,Transitorio
15299,Garagoa,Raíces y Tubérculos,Arracacha,2019,7.000000,Transitorio
15299,Garagoa,Raíces y Tubérculos,Arracacha,2019,2.000000,Transitorio
15299,Garagoa,Raíces y Tubérculos,Papa todas las variedades,2019,3.500000,Transitorio
15299,Garagoa,Raíces y Tubérculos,Papa todas las variedades,2019,3.000000,Transitorio
15299,Garagoa,Raíces y Tubérculos,Yuca consumo en fresco,2019,8.000000,Transitorio
15317,Guacamayas,Raíces y Tubérculos,Papa todas las variedades,2019,6.000000,Transitorio
15317,Guacamayas,Raíces y Tubérculos,Papa todas las variedades,2019,29.000000,Transitorio
15322,Guateque,Raíces y Tubérculos,Arracacha,2019,1.000000,Transitorio
15322,Guateque,Raíces y Tubérculos,Arracacha,2019,1.000000,Transitorio
15322,Guateque,Raíces y Tubérculos,Yuca consumo en fresco,2019,1.000000,Transitorio
15322,Guateque,Raíces y Tubérculos,Yuca consumo en fresco,2019,1.000000,Transitorio
15325,Guayatá,Raíces y Tubérculos,Achira,2019,12.000000,Transitorio
15325,Guayatá,Raíces y Tubérculos,Achira,2019,1.800000,Transitorio
15332,GÜICÁN DE LA SIERRA,Raíces y Tubérculos,Papa Criolla,2019,2.000000,Transitorio
15332,GÜICÁN DE LA SIERRA,Raíces y Tubérculos,Papa Criolla,2019,2.800000,Transitorio
15332,GÜICÁN DE LA SIERRA,Raíces y Tubérculos,Papa todas las variedades,2019,35.000000,Transitorio
15332,GÜICÁN DE LA SIERRA,Raíces y Tubérculos,Papa todas las variedades,2019,41.000000,Transitorio
15362,Iza,Raíces y Tubérculos,Papa todas las variedades,2019,13.000000,Transitorio
15367,Jenesano,Raíces y Tubérculos,Arracacha,2019,15.000000,Transitorio
15367,Jenesano,Raíces y Tubérculos,Arracacha,2019,25.000000,Transitorio
15367,Jenesano,Raíces y Tubérculos,Papa todas las variedades,2019,350.000000,Transitorio
15367,Jenesano,Raíces y Tubérculos,Papa todas las variedades,2019,280.000000,Transitorio
15368,Jericó,Raíces y Tubérculos,Papa todas las variedades,2019,299.000000,Transitorio
15368,Jericó,Raíces y Tubérculos,Papa todas las variedades,2019,199.000000,Transitorio
15377,Labranzagrande,Raíces y Tubérculos,Arracacha,2019,5.000000,Transitorio
15377,Labranzagrande,Raíces y Tubérculos,Malanga¬ Achín¬ Yota¬ Papa China¬ Bore,2019,8.000000,Transitorio
15377,Labranzagrande,Raíces y Tubérculos,Papa todas las variedades,2019,6.000000,Transitorio
15377,Labranzagrande,Raíces y Tubérculos,Yuca consumo en fresco,2019,21.000000,Transitorio
15380,La Capilla,Raíces y Tubérculos,Arracacha,2019,30.000000,Transitorio
15401,La Victoria,Raíces y Tubérculos,Yuca consumo en fresco,2019,7.000000,Transitorio
15401,La Victoria,Raíces y Tubérculos,Yuca consumo en fresco,2019,12.000000,Transitorio
15403,La Uvita,Raíces y Tubérculos,Arracacha,2019,1.000000,Transitorio
15403,La Uvita,Raíces y Tubérculos,Papa Criolla,2019,3.000000,Transitorio
15403,La Uvita,Raíces y Tubérculos,Papa Criolla,2019,3.000000,Transitorio
15403,La Uvita,Raíces y Tubérculos,Papa todas las variedades,2019,21.000000,Transitorio
15403,La Uvita,Raíces y Tubérculos,Papa todas las variedades,2019,10.000000,Transitorio
15403,La Uvita,Raíces y Tubérculos,Yuca consumo en fresco,2019,1.000000,Transitorio
