geo,Año,Desagregación,Producción
15001,2019,Fresa,30.000000
15022,2019,Granadilla,0.000000
15022,2019,Lulo,180.000000
15047,2019,Fresa,72.000000
15047,2019,Gulupa o cholupa,20.000000
15047,2019,Uchuva,15.000000
15051,2019,Arándano,54.000000
15051,2019,Fresa,300.000000
15051,2019,Mora,1455.000000
15051,2019,Tomate de árbol,320.000000
15051,2019,Uchuva,120.000000
15087,2019,Ciruela,8.400000
15087,2019,Curuba,8.000000
15087,2019,Durazno o Albaricoque,18.000000
15087,2019,Feijoa,28.000000
15087,2019,Mora,6.000000
15087,2019,Tomate de árbol,19.000000
15087,2019,Uchuva,13.000000
15090,2019,Chamba,20.000000
15090,2019,Maracuyá,120.000000
15090,2019,Pitahaya,80.000000
15090,2019,Plátano consumo interno,11.500000
15092,2019,Durazno o Albaricoque,8.000000
15092,2019,Uchuva,30.000000
15097,2019,Durazno o Albaricoque,160.000000
15097,2019,Mango demás variedades,39.000000
15097,2019,Plátano consumo interno,90.000000
15097,2019,Otros cítricos,680.000000
15104,2019,Mora,120.000000
15104,2019,Tomate de árbol,481.000000
15106,2019,Aguacate demás variedades,165.000000
15106,2019,Banano consumo interno,0.000000
15106,2019,Guanábana,880.000000
15106,2019,Guayaba,1350.000000
15106,2019,Lulo,72.000000
15106,2019,Mora,300.000000
15106,2019,Naranja demás variedades,570.000000
15106,2019,Pitahaya,4.000000
15106,2019,Plátano consumo interno,28.000000
15109,2019,Aguacate demás variedades,558.000000
15109,2019,Guanábana,210.000000
15109,2019,Gulupa o cholupa,198.000000
15109,2019,Limón Tahití,0.000000
15109,2019,Mandarina demás variedades,1095.000000
15109,2019,Mora,80.000000
15109,2019,Naranja demás variedades,1800.000000
15109,2019,Tomate de árbol,1241.000000
15114,2019,Durazno o Albaricoque,0.000000
15114,2019,Feijoa,0.000000
15114,2019,Higo,0.000000
15131,2019,Curuba,160.000000
15131,2019,Fresa,140.000000
15131,2019,Mora,20.000000
15131,2019,Papayuela -Babaco,140.000000
15131,2019,Tomate de árbol,240.000000
15135,2019,Aguacate demás variedades,0.000000
15135,2019,Granadilla,20.000000
15135,2019,Mora,1.250000
15135,2019,Plátano consumo interno,1098.000000
15162,2019,Durazno o Albaricoque,15.000000
15162,2019,Manzana,12.000000
15162,2019,Uchuva,30.000000
15172,2019,Aguacate demás variedades,140.000000
15172,2019,Granadilla,64.000000
15172,2019,Mora,14.000000
15172,2019,Plátano consumo interno,160.000000
15172,2019,Tomate de árbol,70.000000
15176,2019,Curuba,40.000000
15176,2019,Feijoa,35.000000
15176,2019,Fresa,72.000000
15176,2019,Lulo,119.000000
15176,2019,Mora,240.000000
15176,2019,Tomate de árbol,245.000000
15180,2019,Chirimoya,1160.000000
15180,2019,Durazno o Albaricoque,32.000000
15180,2019,Mora,42.000000
15180,2019,Naranja demás variedades,32.000000
15180,2019,Tomate de árbol,90.000000
15183,2019,Aguacate demás variedades,0.000000
15183,2019,Brevo,695.000000
15183,2019,Durazno o Albaricoque,0.000000
15183,2019,Mora,8.000000
15183,2019,Tomate de árbol,100.000000
15185,2019,Limón Mandarino,160.000000
15185,2019,Limón Tahití,0.000000
15185,2019,Lulo,120.000000
15185,2019,Naranja Valencia,0.000000
15185,2019,Naranja demás variedades,300.000000
15185,2019,Plátano consumo interno,534.000000
15187,2019,Fresa,10.500000
15189,2019,Feijoa,280.000000
15189,2019,Lulo,825.000000
15189,2019,Mora,392.000000
15189,2019,Tomate de árbol,1464.000000
15189,2019,Uchuva,1600.000000
15204,2019,Ciruela,0.000000
15204,2019,Curuba,0.000000
15204,2019,Durazno o Albaricoque,1364.000000
15204,2019,Feijoa,0.000000
15204,2019,Fresa,0.000000
15204,2019,Mora,402.000000
15212,2019,Aguacate demás variedades,850.300000
15212,2019,Guanábana,204.000000
15212,2019,Mangostino,100.000000
15212,2019,Naranja demás variedades,1780.000000
15212,2019,Pitahaya,64.000000
15212,2019,Plátano consumo interno,1200.000000
15215,2019,Arándano,32.000000
15215,2019,Brevo,46.200000
15215,2019,Durazno o Albaricoque,120.150000
