geo,Año,Desagregación,Producción
15022,2019,Café,83.000000
15022,2019,Caña Miel,3000.000000
15090,2019,Cacao,0.000000
15090,2019,Café,465.000000
15090,2019,Caña Miel,832.000000
15097,2019,Caña Panelera,2550.000000
15106,2019,Café,174.000000
15106,2019,Caña Miel,260.000000
15109,2019,Cacao,5.000000
15109,2019,Café,369.000000
15109,2019,Caña Panelera,11970.000000
15135,2019,Cacao,7.360000
15135,2019,Café,107.000000
15135,2019,Caña Miel,1632.000000
15172,2019,Café,67.000000
15172,2019,Caña Miel,2184.000000
15180,2019,Caña Miel,450.000000
15183,2019,Café,0.000000
15183,2019,Caña Panelera,96.000000
15185,2019,Café,484.000000
15185,2019,Caña Panelera,314710.000000
15212,2019,Cacao,104.800000
15212,2019,Café,246.000000
15212,2019,Caña Panelera,32640.000000
15218,2019,Caña Panelera,1270.000000
15223,2019,Cacao,25.200000
15223,2019,Café,0.000000
15223,2019,Caña Panelera,880.000000
15236,2019,Caña Panelera,4446.000000
15248,2019,Caña Panelera,10.000000
15293,2019,Caña Miel,4800.000000
15299,2019,Café,155.000000
15299,2019,Caña Panelera,990.000000
15299,2019,Fique,6.400000
15317,2019,Café,32.000000
15317,2019,Caña Panelera,1000.000000
15322,2019,Café,69.000000
15325,2019,Café,128.000000
15325,2019,Caña Miel,3120.000000
15377,2019,Café,78.000000
15377,2019,Caña Panelera,3750.000000
15401,2019,Cacao,30.000000
15401,2019,Café,69.500000
15401,2019,Caña Panelera,520.000000
15425,2019,Café,117.000000
15425,2019,Caña Miel,6800.000000
15442,2019,Cacao,397.500000
15442,2019,Café,278.000000
15442,2019,Caña Panelera,15570.000000
15442,2019,Caña Miel,13722.780000
15455,2019,Cacao,6.600000
15455,2019,Café,653.550000
15455,2019,Caña Panelera,30000.000000
15455,2019,Caña Miel,7680.000000
15464,2019,Café,70.200000
15469,2019,Café,1636.000000
15469,2019,Caña Panelera,117700.000000
15469,2019,Caña Miel,9600.000000
15480,2019,Cacao,102.000000
15480,2019,Café,84.000000
15480,2019,Caña Panelera,7040.000000
15507,2019,Cacao,277.200000
15507,2019,Café,180.000000
15507,2019,Caña Panelera,8064.000000
15511,2019,Café,123.000000
15511,2019,Caña Miel,2036.800000
15514,2019,Cacao,20.000000
15514,2019,Café,361.000000
15514,2019,Caña Panelera,3600.000000
15516,2019,Caña Panelera,480.000000
15518,2019,Café,42.000000
15518,2019,Caña Panelera,2176.000000
15522,2019,Caña Panelera,300.000000
15531,2019,Cacao,339.000000
15531,2019,Café,310.000000
15531,2019,Caña Panelera,12000.000000
15533,2019,Cacao,1.920000
15533,2019,Café,34.000000
15533,2019,Caña Miel,1376.000000
15550,2019,Café,133.000000
15550,2019,Caña Miel,143.500000
15572,2019,Cacao,138.250000
15572,2019,Café,0.000000
15572,2019,Caña Panelera,0.000000
15580,2019,Cacao,472.000000
15580,2019,Café,163.000000
15580,2019,Caña Panelera,8000.000000
15600,2019,Fique,10.000000
15621,2019,Café,142.000000
15621,2019,Caña Miel,1232.000000
15621,2019,Fique,2.500000
15660,2019,Café,282.000000
15660,2019,Caña Panelera,259.000000
15660,2019,Caña Miel,408.000000
15664,2019,Cacao,0.000000
15664,2019,Café,883.000000
15664,2019,Caña Panelera,449900.000000
15667,2019,Cacao,10.500000
15667,2019,Café,8.000000
15667,2019,Caña Panelera,144.000000
15673,2019,Café,0.000000
15673,2019,Caña Panelera,333.000000
15681,2019,Cacao,212.400000
15681,2019,Café,301.000000
15681,2019,Caña Panelera,2205.000000
15686,2019,Cacao,26.400000
15686,2019,Café,594.000000
15686,2019,Caña Panelera,161280.000000
15690,2019,Cacao,27.000000
15690,2019,Café,3.000000
15690,2019,Caña Panelera,975.000000
15696,2019,Café,7.500000
15696,2019,Caña Miel,6000.000000
15720,2019,Caña Panelera,320.000000
15753,2019,Caña Panelera,500.000000
15755,2019,Caña Panelera,3400.000000
15757,2019,Caña Miel,120.000000
15761,2019,Café,38.000000
15761,2019,Caña Miel,560.000000
15774,2019,Caña Miel,544.000000
15778,2019,Caña Miel,408.000000
15798,2019,Café,13.000000
15798,2019,Caña Miel,928.000000
15804,2019,Caña Miel,4953.000000
15810,2019,Caña Panelera,0.000000
15816,2019,Café,329.500000
15816,2019,Caña Panelera,130000.000000
15832,2019,Cacao,2.450000
15832,2019,Café,69.000000
15842,2019,Café,0.000000
15842,2019,Caña Miel,1945.600000
15897,2019,Café,893.600000
15897,2019,Caña Miel,4608.000000
15022,2020,Café,79.000000
15022,2020,Caña Miel,2960.000000
15090,2020,Cacao,4.800000
15090,2020,Café,423.000000
15090,2020,Caña Miel,782.070000
15097,2020,Caña Panelera,4250.000000
15106,2020,Café,169.000000
15106,2020,Caña Miel,388.000000
15109,2020,Cacao,16.200000
15109,2020,Café,439.500000
15109,2020,Caña Panelera,11760.000000
15135,2020,Cacao,7.360000
15135,2020,Café,219.000000
15135,2020,Caña Miel,1632.000000
15172,2020,Café,64.000000
15172,2020,Caña Miel,1960.000000
15180,2020,Caña Miel,480.000000
15183,2020,Café,4.000000
15183,2020,Caña Panelera,96.000000
15185,2020,Café,343.000000
15185,2020,Caña Panelera,314710.000000
15212,2020,Cacao,104.800000
15212,2020,Café,235.000000
15212,2020,Caña Panelera,28490.000000
15218,2020,Caña Panelera,760.000000
15223,2020,Cacao,24.500000
15223,2020,Café,0.000000
15223,2020,Caña Panelera,300.000000
15236,2020,Café,0.000000
15236,2020,Caña Panelera,4110.000000
15248,2020,Caña Panelera,100.000000
15293,2020,Caña Miel,994.000000
15299,2020,Café,148.000000
15299,2020,Caña Panelera,1033.600000
15299,2020,Fique,7.000000
15317,2020,Café,56.000000
15317,2020,Caña Panelera,900.000000
15322,2020,Café,64.000000
15325,2020,Café,126.000000
15325,2020,Caña Miel,3120.000000
15377,2020,Café,78.000000
15377,2020,Caña Panelera,3600.000000
15401,2020,Cacao,29.900000
15401,2020,Café,134.000000
15401,2020,Caña Panelera,400.000000
15425,2020,Café,112.000000
15425,2020,Caña Miel,9060.000000
15442,2020,Cacao,412.500000
15442,2020,Café,256.000000
15442,2020,Caña Panelera,16695.000000
15442,2020,Caña Miel,13719.680000
15455,2020,Cacao,8.400000
15455,2020,Café,786.000000
15455,2020,Caña Panelera,16800.000000
15455,2020,Caña Miel,8960.000000
15464,2020,Café,7.800000
15469,2020,Café,1550.000000
15469,2020,Caña Panelera,159500.000000
15469,2020,Caña Miel,10200.000000
15480,2020,Cacao,200.000000
15480,2020,Café,78.000000
15480,2020,Caña Panelera,7600.000000
15507,2020,Cacao,314.300000
15507,2020,Café,165.000000
