geo,Año,Desagregación,Producción
15466,2019,Laurel,0.600000
15621,2019,Sábila,1.000000
15759,2019,Laurel,20.000000
15759,2019,Sábila,5.000000
15776,2019,Sábila,248.000000
15466,2020,Laurel,0.200000
15621,2020,Sábila,2.500000
15759,2020,Laurel,25.000000
15759,2020,Sábila,0.000000
15776,2020,Sábila,140.000000
15466,2021,Laurel,0.400000
15621,2021,Sábila,8.000000
15757,2021,Sábila,2.000000
15759,2021,Laurel,25.000000
15776,2021,Sábila,100.000000
15776,2021,Otros Cultivos para Condimentos y Bebidas Medicinales y Aromáticas,9.000000
15778,2021,Sábila,0.000000
15466,2022,Laurel,0.400000
15621,2022,Sábila,8.000000
15757,2022,Sábila,0.000000
15759,2022,Laurel,10.000000
15776,2022,Sábila,160.000000
15776,2022,Otros Cultivos para Condimentos y Bebidas Medicinales y Aromáticas,4.000000
15778,2022,Sábila,8.000000
