Zona,Colombia,Boyacá,Cundinamarca,Meta
2015,17374741,18575739,18894518,31109366
2016,18445011,19726303,20178862,26213926
2017,19411357,20520808,20095677,29589308
2018,20468749,22083733,20241028,33981127
2019,21460744,23213351,20454301,36588669
2020,19793465,20968647,19391175,28977280
2021,23330344,24541934,22757973,38177947
