geo,Municipio,Periodo,Valor
15533,Paya,2016,0.294100
15425,Macanal,2016,0.325000
15362,Iza,2016,0.333300
15522,Panqueba,2016,0.333300
15090,Berbeo,2017,0.333300
15317,Guacamayas,2016,0.375000
15778,Sutatenza,2017,0.384600
15248,El Espino,2017,0.406200
15676,San Miguel De Sema,2016,0.452300
15696,Santa Sofía,2017,0.477200
15325,Guayatá,2016,0.500000
15403,La Uvita,2017,0.500000
15810,Tipacoque,2016,0.511100
15518,Pajarito,2016,0.518500
15667,San Luis De Gaceno,2016,0.521100
15511,Pachavita,2016,0.526300
15774,Susacón,2016,0.526300
15778,Sutatenza,2016,0.526300
15215,Corrales,2016,0.531200
15223,Cubará,2016,0.533300
15223,Cubará,2017,0.540400
15185,Chitaraque,2016,0.544400
15820,Tópaga,2016,0.547600
15272,Firavitoba,2016,0.549200
15248,El Espino,2016,0.555500
15723,Sativasur,2017,0.555500
15798,Tenza,2017,0.555500
15842,Úmbita,2016,0.556900
15879,Viracachá,2016,0.566600
15051,Arcabuco,2016,0.567900
15022,Almeida,2017,0.571400
15236,Chivor,2017,0.578900
15377,Labranzagrande,2017,0.578900
15480,Muzo,2016,0.589000
15810,Tipacoque,2017,0.589700
15820,Tópaga,2017,0.589700
15755,Socotá,2016,0.596400
15897,Zetaquira,2016,0.596400
15135,Campohermoso,2016,0.600000
15425,Macanal,2017,0.605200
15693,Santa Rosa De Viterbo,2017,0.605200
15664,San José De Pare,2016,0.607800
15466,Monguí,2017,0.610100
15296,Gámeza,2016,0.611100
15442,Maripí,2016,0.621200
15667,San Luis De Gaceno,2017,0.621200
15104,Boyacá,2016,0.629600
15638,Sáchica,2017,0.631500
15660,San Eduardo,2017,0.631500
15681,San Pablo De Borbur,2017,0.637600
15183,Chita,2016,0.638400
15621,Rondón,2017,0.640000
15755,Socotá,2017,0.641300
15090,Berbeo,2016,0.642800
15332,GÜICÁN DE LA SIERRA,2017,0.643800
15162,Cerinza,2016,0.647000
15761,Somondoco,2017,0.647000
15476,Motavita,2016,0.649400
15047,Aquitania,2016,0.651400
15455,Miraflores,2016,0.653000
15600,Ráquira,2016,0.653300
15790,Tasco,2016,0.655100
15664,San José De Pare,2017,0.659500
15816,Togüí,2016,0.661000
15244,El Cocuy,2016,0.666600
15696,Santa Sofía,2016,0.666600
15476,Motavita,2017,0.666600
15693,Santa Rosa De Viterbo,2016,0.669700
15764,Soracá,2016,0.669900
15690,Santa María,2017,0.675600
15204,Cómbita,2017,0.677900
15808,Tinjacá,2016,0.678500
15109,Buenavista,2016,0.679200
15109,Buenavista,2017,0.680000
15215,Corrales,2017,0.680000
15051,Arcabuco,2017,0.686700
15533,Paya,2017,0.687500
15403,La Uvita,2016,0.689600
15272,Firavitoba,2017,0.690100
15218,Covarachía,2016,0.692300
15466,Monguí,2016,0.693500
15236,Chivor,2016,0.700000
15087,Belén,2017,0.705300
15757,Socha,2017,0.708700
15464,Mongua,2016,0.709000
15276,Floresta,2017,0.710500
15401,La Victoria,2016,0.714200
15761,Somondoco,2016,0.714200
15798,Tenza,2016,0.714200
15185,Chitaraque,2017,0.714200
15226,Cuítiva,2017,0.714200
15491,Nobsa,2017,0.716300
15187,Chivatá,2016,0.720900
15531,Pauna,2016,0.722200
15646,Samacá,2016,0.724300
15114,Busbanzá,2016,0.727200
15401,La Victoria,2017,0.727200
15494,Nuevo Colón,2017,0.730100
15518,Pajarito,2017,0.730700
15322,Guateque,2016,0.735200
15317,Guacamayas,2017,0.736800
15232,Chíquiza,2016,0.742400
15542,Pesca,2017,0.747200
15507,Otanche,2016,0.750000
15720,Sativanorte,2016,0.750000
15723,Sativasur,2016,0.750000
15293,Gachantivá,2017,0.750000
15224,Cucaita,2016,0.754700
15464,Mongua,2017,0.754700
15183,Chita,2017,0.756000
15690,Santa María,2016,0.757500
15638,Sáchica,2016,0.761100
15296,Gámeza,2017,0.761100
15480,Muzo,2017,0.763300
15837,Tuta,2016,0.763600
15790,Tasco,2017,0.763800
15092,Betéitiva,2016,0.764700
15377,Labranzagrande,2016,0.764700
15740,Siachoque,2017,0.765600
15455,Miraflores,2017,0.768400
15362,Iza,2017,0.769200
15572,Puerto Boyacá,2017,0.769300
15131,Caldas,2016,0.774100
15681,San Pablo De Borbur,2016,0.774600
15673,San Mateo,2017,0.775000
15299,Garagoa,2017,0.775700
15232,Chíquiza,2017,0.779600
15368,Jericó,2017,0.780400
15580,Quípama,2017,0.780400
15494,Nuevo Colón,2016,0.783300
15804,Tibaná,2016,0.783500
15531,Pauna,2017,0.783700
15368,Jericó,2016,0.785700
15244,El Cocuy,2017,0.785700
15757,Socha,2016,0.786400
15204,Cómbita,2016,0.787600
15293,Gachantivá,2016,0.787800
15514,Páez,2017,0.787800
15516,Paipa,2016,0.788200
15839,TUTAZÁ,2016,0.789400
15500,Oicatá,2017,0.791600
15572,Puerto Boyacá,2016,0.791700
15047,Aquitania,2017,0.793500
15861,Ventaquemada,2016,0.795900
15469,Moniquirá,2017,0.797000
15180,Chiscas,2017,0.800000
15740,Siachoque,2016,0.803000
15861,Ventaquemada,2017,0.817300
15276,Floresta,2016,0.818100
15806,Tibasosa,2016,0.822400
15686,Santana,2017,0.823000
15092,Betéitiva,2017,0.823500
15542,Pesca,2016,0.824100
15507,Otanche,2017,0.827200
15469,Moniquirá,2016,0.827900
15753,Soatá,2016,0.830500
15763,Sotaquirá,2017,0.830700
15804,Tibaná,2017,0.831500
15226,Cuítiva,2016,0.833300
15500,Oicatá,2016,0.833300
15580,Quípama,2016,0.833300
15676,San Miguel De Sema,2017,0.833300
15632,Saboyá,2016,0.835300
15599,Ramiriquí,2017,0.835800
15087,Belén,2016,0.838000
15238,Duitama,2016,0.839800
15600,Ráquira,2017,0.840000
15814,Toca,2017,0.845100
15599,Ramiriquí,2016,0.847200
15001,Tunja,2017,0.851700
15212,Coper,2017,0.851800
15516,Paipa,2017,0.853900
15816,Togüí,2017,0.854500
