Departamento,Población,2018,2019,2020,2021
Boyacá,CA,0.153000,0.163000,0.156000,0.180000
Boyacá,CPRD,0.161000,0.170000,0.210000,0.147000
Cundinamarca,CA,0.129000,0.128000,0.138000,0.138000
Cundinamarca,CPRD,0.132000,0.139000,0.185000,0.168000
Meta,CA,0.095000,0.131000,0.127000,0.137000
Meta,CPRD,0.091000,0.115000,0.113000,0.100000
Norte de Santander,CA,0.119000,0.117000,0.130000,0.101000
Norte de Santander,CPRD,0.086000,0.063000,0.080000,0.062000
Santander,CA,0.123000,0.109000,0.143000,0.129000
Santander,CPRD,0.094000,0.122000,0.119000,0.108000
