Municipio,Valor
Sogamoso,3
Puerto Boyacá,3
Chiquinquirá,3
Toca,2
Tunja,2
Santana,2
Aquitania,1
Busbanza,1
Arcabuco,1
Guayatá,1
Combita,1
San Luis De Gaceno,1
