Producto,ARCILLAS,ARCILLAS_MI,ARCILLAS_CE,ROCA_FOSFORICA,PUZOLANAS,HIERRO,CARBON,CALIZA
2015,0.006788,0.004278,0.012984,0.006019,0.081162,0.045499,0.342563,0.498823
2016,0.002592,0.007801,0.018710,0.005209,0.018754,0.036443,0.433458,0.476154
2017,0.005174,0.009071,0.017592,0.004829,0.045121,0.038555,0.421059,0.457471
2018,0.000000,0.011486,0.017520,0.003044,0.030684,0.034886,0.398943,0.498463
2019,0.000000,0.013690,0.023008,0.006501,0.030339,0.061049,0.269255,0.590827
2020,0.000000,0.006369,0.012960,0.004259,0.043601,0.076430,0.308208,0.546951
2021,0.000000,0.004542,0.011091,0.002160,0.020538,0.103848,0.140540,0.717139
