Mineral,RECEBO,GRAVAS,ARENAS,GRAVAS_CANTERA,GRAVAS_RIO,ARENA_SILICEA,ARENA_RIO,ARENA_CANTERA
2015,0.698926,0.019219,0.007153,0.150972,0.037005,0.014646,0.025591,0.045866
2016,0.653611,0.167849,0.101513,0.011262,0.019539,0.030934,0.006645,0.006378
2017,0.396881,0.398225,0.165915,0.000000,0.000000,0.035391,0.000000,0.000000
2018,0.439174,0.368781,0.120069,0.000000,0.000000,0.070839,0.000000,0.000000
2019,0.443124,0.403967,0.135396,0.000000,0.000000,0.015693,0.000000,0.000000
2020,0.410491,0.439902,0.144142,0.000000,0.000000,0.005423,0.000000,0.000000
2021,0.450604,0.401088,0.148307,0.000000,0.000000,0.000000,0.000000,0.000000
