Index,2013,2014,2015,2016,2017
BOYACÁ,1.800000,1.170000,1.090000,1.950000,0.930000
CUNDINAMARCA,2.650000,2.150000,2.080000,2.050000,2.530000
META,7.240000,6.360000,7.480000,7.650000,7.410000
NORTE DE SANTANDER,6.220000,6.770000,5.010000,5.920000,6.370000
SANTANDER,4.500000,4.820000,4.900000,4.050000,4.700000
