geo,Municipio,Cultivo,Año,Área Sembrada (ha)
15832,TUNUNGUA,Cacao,2014,10
15455,MIRAFLORES,Cacao,2014,7
15480,MUZO,Cacao,2015,870
15681,SAN PABLO DE BORBUR,Cacao,2015,768
15531,PAUNA,Cacao,2015,741
15507,OTANCHE,Cacao,2015,725
15442,MARIPÍ,Cacao,2015,620
15580,QUIPAMA,Cacao,2015,550
15572,PUERTO BOYACÁ,Cacao,2015,370
15667,SAN LUIS DE GACENO,Cacao,2015,107
15212,COPER,Cacao,2015,85
15109,BUENAVISTA,Cacao,2015,65
15223,CUBARÁ,Cacao,2015,64
15690,SANTA MARIA,Cacao,2015,60
15135,CAMPOHERMOSO,Cacao,2015,50
15401,LA VICTORIA,Cacao,2015,45
15514,PÁEZ,Cacao,2015,26
15455,MIRAFLORES,Cacao,2015,22
15377,LABRANZAGRANDE,Cacao,2015,20
15533,PAYA,Cacao,2015,14
15832,TUNUNGUA,Cacao,2015,8
15480,MUZO,Cacao,2016,835
15531,PAUNA,Cacao,2016,793
15507,OTANCHE,Cacao,2016,765
15681,SAN PABLO DE BORBUR,Cacao,2016,728
15442,MARIPÍ,Cacao,2016,652
15580,QUIPAMA,Cacao,2016,550
15572,PUERTO BOYACÁ,Cacao,2016,420
15212,COPER,Cacao,2016,238
15223,CUBARÁ,Cacao,2016,99
15667,SAN LUIS DE GACENO,Cacao,2016,69
15109,BUENAVISTA,Cacao,2016,64
15401,LA VICTORIA,Cacao,2016,51
15690,SANTA MARIA,Cacao,2016,45
15135,CAMPOHERMOSO,Cacao,2016,35
15686,SANTANA,Cacao,2016,32
15514,PÁEZ,Cacao,2016,26
15377,LABRANZAGRANDE,Cacao,2016,20
15533,PAYA,Cacao,2016,14
15455,MIRAFLORES,Cacao,2016,10
15832,TUNUNGUA,Cacao,2016,10
15090,BERBEO,Cacao,2016,3
15531,PAUNA,Cacao,2017,791
15442,MARIPÍ,Cacao,2017,785
15507,OTANCHE,Cacao,2017,775
15681,SAN PABLO DE BORBUR,Cacao,2017,730
15580,QUIPAMA,Cacao,2017,595
15480,MUZO,Cacao,2017,518
15572,PUERTO BOYACÁ,Cacao,2017,450
15212,COPER,Cacao,2017,258
15223,CUBARÁ,Cacao,2017,110
15109,BUENAVISTA,Cacao,2017,80
15401,LA VICTORIA,Cacao,2017,72
15667,SAN LUIS DE GACENO,Cacao,2017,66
15690,SANTA MARIA,Cacao,2017,60
15135,CAMPOHERMOSO,Cacao,2017,35
15686,SANTANA,Cacao,2017,32
15514,PÁEZ,Cacao,2017,29
15533,PAYA,Cacao,2017,16
15455,MIRAFLORES,Cacao,2017,11
15832,TUNUNGUA,Cacao,2017,9
15090,BERBEO,Cacao,2017,4
15531,PAUNA,Cacao,2018,869
15442,MARIPÍ,Cacao,2018,810
15507,OTANCHE,Cacao,2018,795
15681,SAN PABLO DE BORBUR,Cacao,2018,735
15580,QUIPAMA,Cacao,2018,645
15572,PUERTO BOYACÁ,Cacao,2018,550
15480,MUZO,Cacao,2018,528
15212,COPER,Cacao,2018,298
15223,CUBARÁ,Cacao,2018,115
15401,LA VICTORIA,Cacao,2018,90
15109,BUENAVISTA,Cacao,2018,85
15667,SAN LUIS DE GACENO,Cacao,2018,66
15690,SANTA MARIA,Cacao,2018,63
15135,CAMPOHERMOSO,Cacao,2018,35
15686,SANTANA,Cacao,2018,32
15514,PÁEZ,Cacao,2018,29
15533,PAYA,Cacao,2018,26
15455,MIRAFLORES,Cacao,2018,21
15832,TUNUNGUA,Cacao,2018,7
15090,BERBEO,Cacao,2018,5
15469,MONIQUIRÁ,Cafe,2007,2
