Unidad,Subgrupo,geo,Area,Periodo,Valor
Número,Todos,15832,Tununguá,2012,0.000000
Número,Todos,15835,Turmequé,2012,0.000000
Número,Todos,15837,Tuta,2012,0.000000
Número,Todos,15839,TUTAZÁ,2012,0.000000
Número,Todos,15842,Úmbita,2012,0.000000
Número,Todos,15861,Ventaquemada,2012,0.000000
Número,Todos,15407,Villa De Leyva,2012,0.000000
Número,Todos,15879,Viracachá,2012,0.000000
Número,Todos,15897,Zetaquira,2012,0.000000
Razón x 100¬000 nacidos vivos,Todos,15022,Almeida,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15047,Aquitania,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15051,Arcabuco,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15087,Belén,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15090,Berbeo,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15092,Betéitiva,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15097,Boavita,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15104,Boyacá,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15106,Briceño,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15109,Buenavista,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15114,Busbanzá,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15131,Caldas,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15135,Campohermoso,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15162,Cerinza,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15172,Chinavita,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15176,Chiquinquirá,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15232,Chíquiza,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15180,Chiscas,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15183,Chita,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15185,Chitaraque,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15187,Chivatá,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15236,Chivor,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15189,Ciénega,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15204,Cómbita,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15212,Coper,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15215,Corrales,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15218,Covarachía,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15223,Cubará,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15224,Cucaita,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15226,Cuítiva,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15238,Duitama,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15244,El Cocuy,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15248,El Espino,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15272,Firavitoba,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15276,Floresta,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15293,Gachantivá,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15296,Gámeza,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15299,Garagoa,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15317,Guacamayas,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15322,Guateque,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15325,Guayatá,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15332,GÜICÁN DE LA SIERRA,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15362,Iza,2013,0.000000
