Estación,µg/m³
Nobsa – Bomberos Nobsa,22.9
Sogamoso – Movil Koica Paipa,22
Sogamoso – Recreo,21.4
Tunja – Volcán Paipa,20.1
Sogamoso – Sena,20
Nobsa – Nazaret,12.8
